"Code","ShortDescription","LongDescription","isBasicLevel","AggregateLevel","parentCode"
"481092","Multiply paper & paperboard, coated on one/both sides with kaolin...whether ...","Multiply paper & paperboard, coated on one/both sides with kaolin...whether or not surface-coloured/surface-decorated/printed, n.e.s. in Ch.48 [see complete text #77]",1,6,"4810"
"481099","Paper & paperboard, coated on one/both sides with kaolin...whether or not s ...","Paper & paperboard, coated on one/both sides with kaolin...whether or not surface-coloured/surface-decorated/printed, n.e.s. in Ch.48 [see complete text #78]",1,6,"4810"
"4811","Paper, paperboard, cellulose wadding and webs of cellulose fibres","Paper, paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, covered, surface-coloured, surface-decorated or printed, in rolls or rectangular (including square) sheets, of any size, other than goods of the kind described in heading 48.03, 48.09 or 48.10.",0,4,"48"
"481110","Tarred/bituminised/asphalted paper, paperboard...in rolls/rect. (incl. squa ...","Tarred/bituminised/asphalted paper, paperboard...in rolls/rect. (incl. square) sheets, of any size, other than gds. of the kind desc. in 48.03/48.09/48.10 [see complete text #79]",1,6,"4811"
"481141","Gummed/adhesive paper & paperboard, self-adhesive, in rolls/rect. (incl. sq ...","Gummed/adhesive paper & paperboard, self-adhesive, in rolls/rect. (incl. square) sheets, of any size, other than gds. of the kind desc. in 48.03/48.09/48.10",1,6,"4811"
"481149","Gummed/adhesive paper & paperboard other than self-adhesive, in rolls/rect. ...","Gummed/adhesive paper & paperboard other than self-adhesive, in rolls/rect. (incl. square) sheets, of any size, other than gds. of the kind desc. in 48.03/48.09/48.10",1,6,"4811"
"481151","Paper & paperboard, coated/impregnated/covered with plastics (excl. adhesiv ...","Paper & paperboard, coated/impregnated/covered with plastics (excl. adhesives), bleached, weighing >150g/m2, in rolls/rect. (incl. square) sheets... [see complete text #80]",1,6,"4811"
"481159","Paper & paperboard, coated/impregnated/covered with plastics (excl. adhesiv ...","Paper & paperboard, coated/impregnated/covered with plastics (excl. adhesives), in rolls/rect. (incl. square) sheets... [see complete text #81]",1,6,"4811"
"481160","Paper & paperboard, coated/impregnated/covered with wax/paraffin wax/steari ...","Paper & paperboard, coated/impregnated/covered with wax/paraffin wax/stearin/oil/glycerol, in rolls/rect. (incl. square) sheets, of any size... [see complete text #82]",1,6,"4811"
"481190","Paper,paperboard,cellulose wadding&webs of cellulose fibres(excl.of 4811.10 ...","Paper,paperboard,cellulose wadding&webs of cellulose fibres(excl.of 4811.10-4811.60),in rolls/rect.(incl.square)sheets,of any size,other than gds.of the kind desc.in 48.03/48.09/48.10",1,6,"4811"
