Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2003,8,1,0,"H2","93",1,,,729242,0
2003,8,2,0,"H2","93",1,,,333943,0
2003,8,1,100,"H2","93",1,,,224,0
2003,8,2,100,"H2","93",1,,,1921,0
2003,8,1,156,"H2","93",1,,,5136,0
2003,8,1,196,"H2","93",1,,,71014,0
2003,8,2,276,"H2","93",1,,,8866,0
2003,8,1,300,"H2","93",1,,,174934,0
2003,8,2,352,"H2","93",1,,,123111,0
2003,8,1,381,"H2","93",1,,,224588,0
2003,8,2,381,"H2","93",1,,,50820,0
2003,8,2,642,"H2","93",1,,,46467,0
2003,8,1,643,"H2","93",1,,,72426,0
2003,8,1,792,"H2","93",1,,,180920,0
2003,8,2,842,"H2","93",1,,,102208,0
2003,8,2,891,"H2","93",1,,,551,0
2003,20,1,0,"H2","93",1,,,1696921,0
2003,20,2,0,"H2","93",1,,,47392,0
2003,20,1,36,"H2","93",1,,,397,0
2003,20,1,40,"H2","93",1,,,39776,0
2003,20,1,56,"H2","93",1,,,25573,0
2003,20,1,76,"H2","93",1,,,619,0
2003,20,1,156,"H2","93",1,,,13861,0
2003,20,1,191,"H2","93",1,,,355,0
2003,20,1,203,"H2","93",1,,,13485,0
2003,20,1,251,"H2","93",1,,,449933,0
2003,20,2,251,"H2","93",1,,,4726,0
2003,20,1,276,"H2","93",1,,,358870,0
2003,20,1,348,"H2","93",1,,,7653,0
2003,20,1,376,"H2","93",1,,,12,0
2003,20,1,381,"H2","93",1,,,241721,0
2003,20,1,392,"H2","93",1,,,17485,0
2003,20,1,410,"H2","93",1,,,5750,0
2003,20,2,484,"H2","93",1,,,4359,0
2003,20,1,490,"H2","93",1,,,302,0
2003,20,2,620,"H2","93",1,,,679,0
2003,20,1,643,"H2","93",1,,,140,0
2003,20,1,699,"H2","93",1,,,141,0
2003,20,1,724,"H2","93",1,,,362750,0
2003,20,2,724,"H2","93",1,,,36929,0
2003,20,1,752,"H2","93",1,,,163,0
2003,20,1,757,"H2","93",1,,,3642,0
2003,20,1,792,"H2","93",1,,,267,0
2003,20,2,826,"H2","93",1,,,698,0
2003,20,1,842,"H2","93",1,,,152992,0
2003,20,1,891,"H2","93",1,,,1037,0
2003,32,1,0,"H2","93",1,,,4028288,0
2003,32,2,0,"H2","93",1,,,8080892,0
2003,32,1,40,"H2","93",1,,,232797,0
2003,32,1,56,"H2","93",1,,,14168,0
2003,32,2,68,"H2","93",1,,,95270,0
2003,32,1,76,"H2","93",1,,,1981827,0
2003,32,2,76,"H2","93",1,,,114665,0
2003,32,1,124,"H2","93",1,,,2791,0
2003,32,2,152,"H2","93",1,,,119535,0
2003,32,1,156,"H2","93",1,,,172135,0
2003,32,2,188,"H2","93",1,,,125469,0
2003,32,1,203,"H2","93",1,,,995,0
2003,32,2,203,"H2","93",1,,,5857,0
2003,32,2,214,"H2","93",1,,,261731,0
2003,32,2,218,"H2","93",1,,,3900,0
2003,32,2,222,"H2","93",1,,,109592,0
2003,32,1,251,"H2","93",1,,,51832,0
2003,32,2,251,"H2","93",1,,,15970,0
2003,32,1,276,"H2","93",1,,,43418,0
2003,32,2,320,"H2","93",1,,,145609,0
2003,32,2,340,"H2","93",1,,,126535,0
2003,32,1,360,"H2","93",1,,,121,0
2003,32,1,376,"H2","93",1,,,4235,0
2003,32,1,381,"H2","93",1,,,735956,0
2003,32,2,381,"H2","93",1,,,120,0
2003,32,1,392,"H2","93",1,,,42,0
2003,32,2,484,"H2","93",1,,,2400,0
2003,32,1,490,"H2","93",1,,,6040,0
2003,32,2,554,"H2","93",1,,,155736,0
2003,32,2,558,"H2","93",1,,,16450,0
2003,32,2,591,"H2","93",1,,,37400,0
2003,32,2,600,"H2","93",1,,,196886,0
2003,32,2,604,"H2","93",1,,,41640,0
2003,32,2,608,"H2","93",1,,,101040,0
2003,32,1,724,"H2","93",1,,,15563,0
2003,32,2,724,"H2","93",1,,,75926,0
2003,32,1,792,"H2","93",1,,,17581,0
2003,32,1,826,"H2","93",1,,,3309,0
2003,32,1,842,"H2","93",1,,,737787,0
2003,32,2,842,"H2","93",1,,,5930003,0
2003,32,2,858,"H2","93",1,,,287580,0
2003,32,2,862,"H2","93",1,,,88950,0
2003,32,1,899,"H2","93",1,,,7691,0
2003,32,2,899,"H2","93",1,,,22628,0
2003,36,1,0,"H2","93",1,,,239091434,0
2003,36,2,0,"H2","93",1,,,18026143,0
2003,36,1,36,"H2","93",1,,,2646532,0
2003,36,1,40,"H2","93",1,,,2731715,0
2003,36,2,40,"H2","93",1,,,2606,0
2003,36,2,50,"H2","93",1,,,2093,0
2003,36,1,56,"H2","93",1,,,5917453,0
2003,36,2,56,"H2","93",1,,,725909,0
2003,36,1,76,"H2","93",1,,,320303,0
2003,36,2,90,"H2","93",1,,,163677,0
2003,36,1,124,"H2","93",1,,,3400488,0
2003,36,2,124,"H2","93",1,,,623075,0
2003,36,2,144,"H2","93",1,,,10425,0
2003,36,1,156,"H2","93",1,,,319206,0
2003,36,2,156,"H2","93",1,,,48491,0
2003,36,2,166,"H2","93",1,,,8750,0
2003,36,1,170,"H2","93",1,,,250942,0
2003,36,1,203,"H2","93",1,,,644045,0
2003,36,2,203,"H2","93",1,,,107185,0
2003,36,1,208,"H2","93",1,,,2228322,0
2003,36,2,242,"H2","93",1,,,16369,0
2003,36,1,246,"H2","93",1,,,966123,0
2003,36,2,246,"H2","93",1,,,26236,0
2003,36,1,251,"H2","93",1,,,1844640,0
2003,36,2,251,"H2","93",1,,,13346,0
2003,36,2,258,"H2","93",1,,,1824,0
2003,36,1,276,"H2","93",1,,,8373165,0
2003,36,2,276,"H2","93",1,,,139375,0
2003,36,1,300,"H2","93",1,,,2293,0
2003,36,2,328,"H2","93",1,,,2456,0
2003,36,1,344,"H2","93",1,,,4045,0
2003,36,2,344,"H2","93",1,,,119380,0
2003,36,1,360,"H2","93",1,,,3934,0
2003,36,2,360,"H2","93",1,,,4194,0
2003,36,2,372,"H2","93",1,,,1590,0
2003,36,1,376,"H2","93",1,,,36805,0
2003,36,2,376,"H2","93",1,,,35667,0
2003,36,1,381,"H2","93",1,,,5129948,0
2003,36,2,381,"H2","93",1,,,56160,0
2003,36,1,384,"H2","93",1,,,221,0
2003,36,2,388,"H2","93",1,,,3551,0
2003,36,1,392,"H2","93",1,,,509023,0
2003,36,2,392,"H2","93",1,,,1822963,0
2003,36,1,404,"H2","93",1,,,251,0
2003,36,1,410,"H2","93",1,,,1388014,0
2003,36,2,410,"H2","93",1,,,219494,0
2003,36,1,414,"H2","93",1,,,6968,0
2003,36,2,414,"H2","93",1,,,172148,0
2003,36,2,422,"H2","93",1,,,1629,0
2003,36,2,446,"H2","93",1,,,42523,0
2003,36,1,458,"H2","93",1,,,2775,0
2003,36,2,458,"H2","93",1,,,9877,0
2003,36,1,490,"H2","93",1,,,189046,0
2003,36,2,490,"H2","93",1,,,62337,0
2003,36,2,496,"H2","93",1,,,6519,0
2003,36,2,512,"H2","93",1,,,9104,0
2003,36,1,528,"H2","93",1,,,613,0
2003,36,2,528,"H2","93",1,,,4323,0
2003,36,2,540,"H2","93",1,,,117943,0
2003,36,2,548,"H2","93",1,,,4365,0
2003,36,1,554,"H2","93",1,,,469358,0
2003,36,2,554,"H2","93",1,,,3053818,0
2003,36,2,562,"H2","93",1,,,1999,0
2003,36,2,574,"H2","93",1,,,1717,0
2003,36,1,579,"H2","93",1,,,26885999,0
2003,36,2,579,"H2","93",1,,,266062,0
2003,36,1,586,"H2","93",1,,,32518,0
